ZIP Code,Postal City 1
90746,Carson
90623,La Palma
91411,Van Nuys
91322,Newhall
91784,Upland
90042,Los Angeles
91023,Mt Wilson
93560,Rosamond
90095,Los Angeles
92886,Yorba Linda
91343,North Hills
91007,Arcadia
91001,Altadena
91016,Monrovia
90747,Carson
91768,Pomona
90241,Downey
90094,Playa Vista
90025,Los Angeles
90019,Los Angeles
91522,Burbank
90703,Cerritos
90003,Los Angeles
90706,Bellflower
91393,North Hills
91024,Sierra Madre
90240,Downey
90403,Santa Monica
90023,Los Angeles
92648,Huntington Beach
90640,Montebello
90815,Long Beach
91386,Canyon Country
90057,Los Angeles
90038,Los Angeles
91748,Rowland Heights
90004,Los Angeles
90606,Whittier
90631,La Habra
91770,Rosemead
90704,Avalon
90043,Los Angeles
91608,Universal City
91746,La Puente
91406,Van Nuys
92649,Huntington Beach
90810,Long Beach
90295,Marina Del Rey
91765,Diamond Bar
91790,West Covina
90041,Los Angeles
90005,Los Angeles
93563,Valyermo
90302,Inglewood
90701,Artesia
92397,Wrightwood
90202,Bell
91780,Temple City
90405,Santa Monica
91372,Calabasas
91126,Pasadena
90303,Inglewood
90807,Long Beach
91205,Glendale
91423,Sherman Oaks
90293,Playa Del Rey
91351,Canyon Country
90232,Culver City
90277,Redondo Beach
91401,Van Nuys
91750,La Verne
91602,North Hollywood
91331,Pacoima
91340,San Fernando
91335,Reseda
91321,Newhall
91618,North Hollywood
91396,Winnetka
90744,Wilmington
90670,Santa Fe Springs
90039,Los Angeles
91436,Encino
92835,Fullerton
91040,Sunland
91709,Chino Hills
91604,Studio City
91042,Tujunga
91214,La Crescenta
93534,Lancaster
90212,Beverly Hills
91745,Hacienda Heights
90745,Carson
91775,San Gabriel
90013,Los Angeles
90814,Long Beach
91504,Burbank
91006,Arcadia
91610,Toluca Lake
90068,Los Angeles
91405,Van Nuys
91731,El Monte
93243,Lebec
92301,Adelanto
92805,Anaheim
90502,Torrance
91505,Burbank
90290,Topanga
90028,Los Angeles
91413,Sherman Oaks
93510,Acton
90272,Pacific Palisades
90210,Beverly Hills
90296,Playa Del Rey
90067,Los Angeles
90008,Los Angeles
90755,Signal Hill
92823,Brea
91617,Valley Village
90255,Huntington Park
90805,Long Beach
92832,Fullerton
90254,Hermosa Beach
92831,Fullerton
90044,Los Angeles
91740,Glendora
90048,Los Angeles
90022,Los Angeles
93544,Llano
90265,Malibu
90058,Los Angeles
90201,Bell Gardens
90016,Los Angeles
91601,North Hollywood
91776,San Gabriel
93543,Littlerock
91326,Porter Ranch
90065,Los Angeles
90007,Los Angeles
90270,Maywood
91744,La Puente
90062,Los Angeles
91402,Panorama City
91207,Glendale
91107,Pasadena
90047,Los Angeles
90049,Los Angeles
91506,Burbank
91502,Burbank
90803,Long Beach
90015,Los Angeles
93551,Palmdale
90505,Torrance
91786,Upland
91302,Calabasas
90211,Beverly Hills
90712,Lakewood
90073,Los Angeles
91706,Baldwin Park
91710,Chino
91385,Valencia
90059,Los Angeles
90895,Carson
90715,Lakewood
90813,Long Beach
91327,Northridge
90263,Malibu
91352,Sun Valley
90224,Compton
90605,Whittier
90404,Santa Monica
91118,San Marino
92801,Anaheim
91792,West Covina
91607,Valley Village
91303,Canoga Park
90230,Culver City
91376,Agoura Hills
90040,Los Angeles
91364,Woodland Hills
91767,Pomona
91307,West Hills
91521,Burbank
91403,Sherman Oaks
90710,Harbor City
91380,Santa Clarita
92683,Westminster
90621,Buena Park
90032,Los Angeles
91330,Northridge
93536,Lancaster
90274,Palos Verdes Peninsula
91354,Valencia
90017,Los Angeles
90740,Seal Beach
91741,Glendora
91304,Canoga Park
90504,Torrance
90026,Los Angeles
90262,Lynwood
90077,Los Angeles
91324,Northridge
91203,Glendale
90305,Inglewood
91501,Burbank
90603,Whittier
92647,Huntington Beach
91495,Sherman Oaks
91105,Pasadena
90027,Los Angeles
93591,Palmdale
90024,Los Angeles
91426,Encino
90831,Long Beach
90402,Santa Monica
90639,La Mirada
90012,Los Angeles
91367,Woodland Hills
90011,Los Angeles
90247,Gardena
90601,Whittier
90630,Cypress
91759,Mt Baldy
